country,inflation_rate,exports_gdp_share,gdp_growth_rate,gdp_per_capita,adult_literacy_rate,primary_school_enrolment_rate,education_expenditure_gdp_share,measles_immunisation_rate,health_expenditure_gdp_share,income_inequality,unemployment_rate,life_expectancy,total_population
Denmark,7.69656699889264,70.5484698289144,1.54017307357893,68091.3191138669,,100.244453430176,6.35586977005005,95.0,9.4758625,29.3,4.434,81.3048780487805,5903037.0
Djibouti,5.17980847967062,159.250735528808,5.16653702854374,3133.25779772463,,,,50.0,2.49675012,,26.307,65.54,1137096.0
Dominica,2.88490226829352,,10.3968076616121,9323.66089490562,,100.808761583825,6.04314243406571,87.0,6.31969738,,,71.081,66826.0
Dominican Republic,8.81109209279586,22.0261866198241,5.23795652902595,10104.2449349081,93.7022375646963,100.492291150329,3.61088872070271,85.0,4.57254791,37.0,5.504,74.211,11230734.0
Ecuador,3.46616972213076,30.9252456928287,5.86842354862311,6515.58528418336,96.2600021362305,99.5680141602854,3.59897994995117,74.0,7.53457022,45.5,3.761,76.577,17823897.0
"Egypt, Arab Rep.",13.8956609775178,15.0870258208479,6.58784560886967,4233.30783744856,79.4565788949049,89.5100870340285,,96.0,4.70438385,,7.344,71.01,112618250.0
El Salvador,7.19861615609861,32.433483149734,2.95461516549889,5074.60210221806,89.3518526572018,89.1304089502047,3.25634002685547,80.0,9.84079742,38.8,2.999,71.969,6280319.0
Equatorial Guinea,4.78671704710806,52.9670852025114,3.22350831658598,7589.29964909381,,,,49.0,2.91350007,38.5,8.455,63.355,1803545.0
Eritrea,,,,,,89.7312469482422,,93.0,3.87447667,,5.695,67.789,3409447.0
Estonia,19.3982634080616,86.6638366613108,0.0604305165130938,28451.1477825175,,99.2638168334961,5.20733976364136,87.0,6.98701143,32.3,5.571,77.8439024390244,1348840.0
Eswatini,,44.5469766780666,1.1195906677553,3889.65276959161,90.75,117.195740765085,5.57274175738511,83.0,7.2226615,,35.359,63.028,1218917.0
Ethiopia,33.8898797100898,8.24396037798902,5.32175988403378,1011.07332413462,60.4599990844727,84.6317733971345,3.73649512188829,62.0,2.85274577,,3.409,66.897,125384287.0
Faroe Islands,,62.2097192780871,3.55602380418398,66139.3809716876,,,,,,,,82.9439024390244,53927.0
Fiji,4.52019266394958,48.1741153774177,19.7927266886699,5405.03006162671,,112.260294588848,3.93839539074194,99.0,4.00910091,,4.446,67.148,919422.0
Finland,7.12350773301401,46.2847802806846,0.763041912763526,50440.560224974,,98.6190185546875,6.37603998184204,94.0,9.6589222,27.9,6.719,81.1878048780488,5556106.0
France,5.22236748369736,36.5036688904078,2.57084047567793,41082.8119320747,,102.709487915039,5.32435989379883,95.0,11.8819046,31.2,7.308,82.1292682926829,68065015.0
French Polynesia,,21.096822594212,4.46637969963146,20738.6499971661,,,,,,,11.888,83.859,280378.0
Gabon,4.23124798274575,67.5787331931406,3.03761449525692,8409.20741452279,,,2.20773650357931,52.0,2.85591531,,20.399,67.713,2430747.0
"Gambia, The",11.5131198380505,8.56985063519528,5.49299825508946,836.244875582631,,97.2781723362608,2.89168744551701,74.0,3.41435836,,6.076,64.859,2636470.0
Georgia,11.8981654203198,52.4788792204227,10.9585321385624,6729.84659930283,99.5699996948242,102.727831178351,3.75498008728027,90.0,7.25569582,33.5,11.647,74.141,3712502.0
Germany,6.87257438551096,45.7805177232318,1.36973104612758,49686.1154582583,,100.218132019043,5.23916006088257,96.0,12.60513115,,3.12,80.6080487804878,83797985.0
Ghana,31.2558951049016,34.6640435533587,3.80484980952164,2229.89122647803,,98.2318953247047,2.90963831638452,95.0,3.6993649,,3.084,65.246,33149152.0
Gibraltar,,,,,,106.327724945135,,,,,,83.517,37609.0
Greece,9.64525981280638,49.019884781247,5.74364902526337,20971.8349258283,,101.192031860352,3.37547993659973,94.0,8.49983692,33.4,12.426,80.7878048780488,10436882.0
Greenland,,40.7900871498763,2.00455580865604,55635.0006491223,,,,,,,,71.5404878048781,56661.0
Grenada,2.58053925907924,,7.32074061551874,10535.4588771454,,,4.03767284869161,76.0,4.94846392,,,75.151,116913.0
Guam,,7.88712011577424,5.09986426216793,41833.1517132825,,,,,,,5.454,77.102,165180.0
Guatemala,6.88512823344283,18.9455010118901,4.18451808712605,5358.70127494396,83.0299987792969,102.998277778394,3.20823001861572,86.0,7.44098806,,3.051,71.206,17847877.0
Guinea,10.4930409984424,45.4186514317354,3.97240784200721,1416.59612011764,,,2.00722302981184,51.0,3.95847702,,5.267,60.432,14055137.0
Guinea-Bissau,9.39075933985203,14.8894039340798,5.58513728011474,873.437861875428,63.9300003051758,,,75.0,8.11358356,,2.666,63.605,2105529.0
Guyana,6.11505550109937,,63.3346343654855,17913.4928066879,,,,97.0,3.00636959,,12.013,69.888,821637.0
Haiti,33.98393194707,7.23876011586942,-1.68198396897978,1760.62635668777,,,1.02689812206798,66.0,3.20848918,,14.635,63.948,11503606.0
Honduras,9.08963911525025,42.4391817948962,4.14356194013767,3003.28996826399,88.2764147235016,82.2937171979577,4.48280030802056,77.0,8.28209972,,8.774,72.715,10463872.0
"Hong Kong SAR, China",1.88136707196852,194.486518007141,-3.68375141698573,48825.8441873536,,103.028312901343,3.72866010665894,,,,4.318,83.6609756097561,7346100.0
Hungary,14.6081439492433,89.5031301401611,4.27034755162904,18483.6366867035,,103.47647857666,3.81258988380432,99.0,6.68981791,,3.609,75.8682926829268,9605074.0
Iceland,8.30875511558923,45.8077781441652,8.97897085175497,75121.0152280628,,98.5116424560547,7.28923988342285,91.0,9.28593922,,3.789,82.119512195122,382003.0
India,6.69903414079849,23.2515412045298,7.60936497768895,2347.44829434623,76.3199996948242,112.073964742492,4.09865814174589,95.0,3.3058846,25.5,4.822,71.698,1425423212.0
Indonesia,4.20946463714783,24.5029116862832,5.30719722664799,4730.83484836107,,98.7008730463611,0.863943349575907,92.0,2.69394851,35.5,3.462,70.925,278830529.0
"Iran, Islamic Rep.",43.4884641742178,26.8158865548081,3.77663140152906,4405.09291519791,88.5939994931719,,2.6699800491333,99.0,5.34889174,34.8,9.085,76.799,89524246.0
Iraq,4.99476596381041,44.5259462145341,7.95904804992662,6520.73154560584,,,,97.0,4.29332495,,15.511,72.037,44070551.0
Ireland,7.82945736434107,136.684440145681,8.61950345618772,105234.511567597,,99.6199417114258,,90.0,6.11978531,29.9,4.501,82.509756097561,5212836.0
Isle of Man,,,-4.16539345213232,88328.548125887,,,,,,,,80.956,84132.0
Israel,4.41162725488366,31.3853280968641,6.26326343841286,54949.621556429,,96.3125686645508,5.93496990203857,98.0,7.34161806,,3.695,82.7,9557500.0
Italy,8.20128991161714,35.0991400412578,4.82117669913565,35653.9042103495,,101.56453704834,4.0698299407959,94.0,9.02753067,33.7,8.069,82.7,59013667.0
Jamaica,10.3495688391272,,5.22151985159613,6022.15339791763,,93.2681834287689,5.35435009002685,91.0,7.77706337,,4.083,71.481,2839144.0
Japan,2.49770278172251,21.5464241239166,0.941998775483285,34065.6438962526,,102.158706665039,,98.0,11.42183685,,2.6,83.9963414634146,125124989.0
Jordan,4.22915568897118,42.5374671563433,2.64743514912058,4332.25159897931,,98.541267066326,3.15300011634827,86.0,6.82820034,,18.2,77.088,11256263.0
Kazakhstan,15.0278644440851,41.5690089041544,3.19999999970734,11255.3396437881,,99.223902183157,4.36185360851405,99.0,3.74026752,,4.86,73.503,20034609.0
Kenya,7.65986268272222,12.1919692160845,4.85998104287999,2109.56288513137,,98.551967362001,4.51101801829815,89.0,4.32603645,37.7,5.707,63.549,54252461.0
Kiribati,5.34595440908903,7.60658075917655,4.56632593100372,2069.76720110559,,102.156527494347,14.7860312820513,85.0,10.49855042,,,66.269,130469.0
"Korea, Dem. People's Rep.",,,,,,,,99.0,,,2.805,73.641,26328845.0
"Korea, Rep.",5.0895136506284,48.2717642210409,2.61267219187226,32394.6833725203,,99.0050201416016,5.81446981430054,97.0,9.43414211,,2.857,82.6804878048781,51672569.0
