country,inflation_rate,exports_gdp_share,gdp_growth_rate,gdp_per_capita,adult_literacy_rate,primary_school_enrolment_rate,education_expenditure_gdp_share,measles_immunisation_rate,health_expenditure_gdp_share,income_inequality,unemployment_rate,life_expectancy,total_population
Tanzania,4.35027204269098,15.4137105201683,4.56600576430955,1207.85302734375,78.2099990844727,90.6152672281358,3.2382450375764,84.0,3.1119566,,2.588,66.879,64711821.0
Thailand,-1.6106803048669,65.3727641914083,2.58037874709827,6909.35281815827,91.0999984741211,104.833004394528,2.61187022798634,93.0,5.35470581,34.3,0.94,75.291,71735329.0
Timor-Leste,7.00530945399787,55.6120534416076,-20.5415847471733,2343.24523350389,72.4700012207031,119.036719326581,,72.0,14.32454681,,1.537,67.368,1369295.0
Togo,7.96757361617943,25.5991710804409,5.75954251521733,898.758154410712,72.5999984741211,118.42316752898,3.77811083266775,79.0,6.04134083,,1.965,62.29,9089738.0
Tonga,10.9713652903022,11.5596393402516,-2.3098644452046,4933.07466930785,,106.535737282679,5.31016278046634,99.0,8.13607597,,2.302,72.635,105042.0
Trinidad and Tobago,5.82838638517964,,1.08222233950819,20874.37682915,,,2.67331004142761,92.0,6.43106365,,4.383,73.331,1365805.0
Tunisia,8.30646124447624,50.9788319964445,2.67331821840567,3708.8481241036,,104.063652038574,6.8049896073928,95.0,6.96380186,,15.3,76.05,12119334.0
Turkiye,72.3088359891207,38.5842021809785,5.53342787492781,10674.504157865,,102.487701416016,3.09572005271912,95.0,3.70338893,44.5,10.465,77.591,84979913.0
Turkmenistan,,24.8763820118022,6.19999993621698,8156.35211950774,99.9000015258789,97.8101295641932,3.58004999160767,98.0,5.37103748,,4.109,69.913,7230193.0
Turks and Caicos Islands,,,14.0871234168153,31280.5418020808,,120.817047119141,3.28261995315552,,,,,77.918,45847.0
Tuvalu,,,0.677309361438304,5911.32727055301,100.0,110.604870384918,13.7621912480198,90.0,18.38210106,,,66.852,9992.0
Uganda,7.19578885975811,12.0219954333331,4.58802192181773,963.067314233497,,,2.56105027176925,90.0,4.39089251,,2.886,67.675,47312719.0
Ukraine,20.1836366617478,35.4451153382041,-28.7585842155085,4199.6708984375,,92.7711634493634,,74.0,,,,72.658,41048766.0
United Arab Emirates,5.29122604376852,103.812252335101,7.50969703496445,49899.0652975197,98.2900009155273,107.287431527388,,98.0,4.67550945,,2.872,80.487,10074977.0
United Kingdom,7.92204883147907,33.5671944737788,4.83908517877134,46062.9914079698,,102.53524017334,,90.0,11.05087757,,3.73,81.0112195121951,67604000.0
United States,8.00279982052121,11.6022279170372,2.5123753198332,77860.9112908848,,96.9717330932617,,92.0,16.49613953,41.7,3.65,77.4341463414634,334017321.0
Uruguay,9.10437983075439,33.3316130133263,4.48622703072073,20818.6146091144,98.8499984741211,108.822761535645,4.5073299407959,96.0,8.94532204,40.6,7.877,76.468,3390913.0
Uzbekistan,11.4466436998836,23.2670310407511,6.00134232203442,2578.66689394219,100.0,93.9099780290139,5.23477171022152,99.0,7.36325455,31.2,4.49,72.147,34938955.0
Vanuatu,6.67930581887123,9.64841450079906,5.18622862422562,3292.34108821237,,118.366532355349,10.7033456499063,70.0,4.14742947,,5.143,71.302,313046.0
"Venezuela, RB",,,,,,109.259559631348,,52.0,4.55047369,,5.707,72.566,28213017.0
Viet Nam,3.15650749963127,93.420129043511,8.53750046755788,4147.69777213621,96.129997253418,104.129392785949,2.88738689372749,88.0,4.58891582,36.1,1.523,74.502,99680655.0
Virgin Islands (U.S.),,97.3672945205479,-1.31123206333498,44320.909185774,,,,,,,13.007,80.319512195122,105413.0
West Bank and Gaza,3.74122391852073,18.4362526414651,4.08276027347105,3799.95527015163,97.8399963378906,91.451637200506,,97.0,9.73336029,,24.42,76.662,5043612.0
"Yemen, Rep.",,,,,,,,53.0,6.18666697,,17.363,67.952,38222876.0
Zambia,10.9932039209136,40.1939977114306,5.21122360356247,1447.12310138035,79.9751431296375,,3.65884092023983,88.0,5.25592279,51.5,5.995,65.279,20152938.0
Zimbabwe,104.705170628667,27.8721704885775,6.1391761744749,2040.54658705395,,93.1659658731937,,90.0,3.62880659,,10.087,62.36,16069056.0
